Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,1,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,1,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,2,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,2,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,3,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,3,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,4,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,4,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,5,1000,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data kopitiam new york,New York,US,6,1000,1900
